Question,Option 1,Option 2,Option 3,Option 4,Answer,Hint,Know More,Link,YouTube,Image,Type,Concept,Worksheet No
He _____ to school.,go,goes,going,went,goes,He is singular.,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/De_us_school_bus.jpg/320px-De_us_school_bus.jpg,MCQ,Grammar,3
She _____ apples.,likes,like,liking,liked,likes,She is singular.,,,,,MCQ,Grammar,3
They _____ football.,play,plays,playing,played,play,They is plural.,,,,,MCQ,Grammar,3
"Sentence: The sun ""rises"" every morning.",,,,,rises,Daily habit.,,,,,,FIB,Grammar,3
Cats _____ milk.,drink,drinks,drinking,drank,drink,Plural subject.,,,,,MCQ,Grammar,3
My dog _____ loudly.,barks,bark,barking,barked,barks,Singular subject.,,,,,MCQ,Grammar,3
We _____ TV at night.,watch,watches,watching,watched,watch,We is plural.,,,,,MCQ,Grammar,3
"Sentence: I ""walk"" to the park.",,,,,walk,First person.,,,,,,FIB,Grammar,3
The bird _____.,sing,sings,singing,sang,sings,Singular subject.,,,,,MCQ,Grammar,3
Fish _____ in water.,swim,swims,swimming,swam,swim,Plural (Fish) or general.,,,,,MCQ,Grammar,3
My mom _____ dinner.,cook,cooks,cooking,cooked,cooks,She cooks.,,,,,MCQ,Grammar,3
"Sentence: He ""reads"" a book.",,,,,reads,Simple present.,,,,,,FIB,Grammar,3
The train _____ at 5 PM.,leave,leaves,leaving,left,leaves,Schedule.,,,,,MCQ,Grammar,3
I _____ ice cream.,love,loves,loving,loved,love,I love.,,,,,MCQ,Grammar,3
You _____ tall.,are,is,am,be,are,You are.,,,,,MCQ,Grammar,3
"Sentence: She ""dances"" well.",,,,,dances,Action.,,,,,,FIB,Grammar,3
He _____ his teeth.,brush,brushes,brushing,brushed,brushes,Ends in sh.,,,,,MCQ,Grammar,3
The baby _____.,cry,cries,crying,cried,cries,Ends in y.,,,,,MCQ,Grammar,3
Birds _____ nests.,build,builds,building,built,build,Plural birds.,,,,,MCQ,Grammar,3
"Sentence: We ""study"" English.",,,,,study,Us.,,,,,,FIB,Grammar,3
The earth _____ around the sun.,move,moves,moving,moved,moves,Fact.,,,,,MCQ,Grammar,3
She _____ glasses.,wear,wears,wearing,wore,wears,Habit.,,,,,MCQ,Grammar,3
It _____ in winter.,snow,snows,snowing,snowed,snows,Weather.,,,,,MCQ,Grammar,3
"Sentence: The dog ""sleeps"" on the rug.",,,,,sleeps,It.,,,,,,FIB,Grammar,3
My dad _____ a car.,drive,drives,driving,drove,drives,He.,,,,,MCQ,Grammar,3
They _____ pizza.,eat,eats,eating,ate,eat,They.,,,,,MCQ,Grammar,3
I _____ my homework.,do,does,doing,did,do,I do.,,,,,MCQ,Grammar,3
"Sentence: He ""fixes"" cars.",,,,,fixes,Ends in x.,,,,,,FIB,Grammar,3
The stars _____ at night.,shine,shines,shining,shone,shine,Plural.,,,,,MCQ,Grammar,3
Water _____ at 100C.,boil,boils,boiling,boiled,boils,Fact.,,,,,MCQ,Grammar,3
She _____ the answer.,know,knows,knowing,knew,knows,Mind.,,,,,MCQ,Grammar,3
"Sentence: You ""speak"" loudly.",,,,,speak,Voice.,,,,,,FIB,Grammar,3
He _____ TV.,watches,watch,watching,watched,watches,Ends in ch.,,,,,MCQ,Grammar,3
They _____ to music.,listen,listens,listening,listened,listen,Listen.,,,,,MCQ,Grammar,3
I _____ early.,wake,wakes,waking,woke,wake,Routine.,,,,,MCQ,Grammar,3
"Sentence: The cat ""catches"" the mouse.",,,,,catches,Hunt.,,,,,,FIB,Grammar,3
She _____ happy.,seem,seems,seeming,seemed,seems,State.,,,,,MCQ,Grammar,3
We _____ in a house.,live,lives,living,lived,live,Home.,,,,,MCQ,Grammar,3
He _____ fast.,run,runs,running,ran,runs,Speed.,,,,,MCQ,Grammar,3
"Sentence: I ""write"" a letter.",,,,,write,Pen.,,,,,,FIB,Grammar,3
The flower _____ good.,smell,smells,smelling,smelled,smells,Sense.,,,,,MCQ,Grammar,3
It _____ heavily.,rain,rains,raining,rained,rains,Weather.,,,,,MCQ,Grammar,3
You _____ tired.,look,looks,looking,looked,look,Appearance.,,,,,MCQ,Grammar,3
"Sentence: She ""washes"" the dishes.",,,,,washes,Clean.,,,,,,FIB,Grammar,3
They _____ hard.,work,works,working,worked,work,Job.,,,,,MCQ,Grammar,3
He _____ a song.,sing,sings,singing,sang,sings,Voice.,,,,,MCQ,Grammar,3
She _____ water.,drink,drinks,drinking,drank,drinks,Thirst.,,,,,MCQ,Grammar,3
"Sentence: We ""go"" to the park.",,,,,go,Trip.,,,,,,FIB,Grammar,3
The bus _____ here.,stop,stops,stopping,stopped,stops,Location.,,,,,MCQ,Grammar,3
I _____ chocolate.,like,likes,liking,liked,like,Preference.,,,,,MCQ,Grammar,3
