Question,Option 1,Option 2,Option 3,Option 4,Answer,Hint,Know More,Link,YouTube,Image,Type,Concept/Subtopic,Worksheet No
I ____ to school every day.,walk,walked,walking,will walk,walk,Present Simple,,,,,MCQ,Tenses,3
"Yesterday, I ____ my grandmother.",visited,visit,visiting,will visit,visited,Simple Past,,,,,MCQ,Tenses,3
"Tomorrow, we ____ to the beach.",will go,go,went,going,will go,Simple Future,,,,,MCQ,Tenses,3
She ____ right now.,is reading,reads,read,will read,is reading,Present Continuous,,,,,MCQ,Tenses,3
They ____ lunch when I arrived.,were eating,are eating,eat,ate,were eating,Past Continuous,,,,,MCQ,Tenses,3
He ____ his work yet.,has not finished,did not finish,not finish,finished,has not finished,Present Perfect,,,,,MCQ,Tenses,3
"By next year, I ____ ten years old.",will be,am,was,have been,will be,Future,,,,,MCQ,Tenses,3
The sun ____ in the west.,sets,set,setting,will set,sets,Present Simple (Fact),,,,,MCQ,Tenses,3
I ____ this movie before.,have seen,saw,see,seeing,have seen,Present Perfect,,,,,MCQ,Tenses,3
Look! It ____.,is raining,rains,rained,will rain,is raining,Present Continuous,,,,,MCQ,Tenses,3
We ____ strictly properly yesterday.,behaved,behave,behaving,will behave,behaved,Simple Past,,,,,MCQ,Tenses,3
My dad ____ coffee every morning.,drinks,drink,drinking,drank,drinks,Habitual,,,,,MCQ,Tenses,3
I ____ you as soon as I arrive.,will call,call,called,calling,will call,Future,,,,,MCQ,Tenses,3
She ____ for two hours.,has been sleeping,is sleeping,sleeps,slept,has been sleeping,Present Perfect Continuous,,,,,MCQ,Tenses,3
"When I was young, I ____ to play tag.",liked,like,liking,will like,liked,Past State,,,,,MCQ,Tenses,3
The train ____ before we reached the station.,had left,left,leaves,leaving,had left,Past Perfect,,,,,MCQ,Tenses,3
"Next week, they ____ a party.",are having,had,have,having,are having,Future Plan,,,,,MCQ,Tenses,3
Water ____ at 100 degrees Celsius.,boils,boil,boiled,boiling,boils,Fact,,,,,MCQ,Tenses,3
He rarely ____ late.,comes,come,coming,came,comes,Frequency adverb,,,,,MCQ,Tenses,3
"While I was studying, my brother ____.",was playing,plays,played,is playing,was playing,Past Continuous,,,,,MCQ,Tenses,3
I ____ never ____ to Paris.,"have, been","did, go","was, go","am, going","have, been",Present Perfect,,,,,MCQ,Tenses,3
She ____ always ____.,"is, smiling","does, smile","smile, is","smiling, is","is, smiling",Present Continuous habit,,,,,MCQ,Tenses,3
"By the time you arrive, I ____.",will have left,leave,left,leaving,will have left,Future Perfect,,,,,MCQ,Tenses,3
They ____ since 2010.,have lived,lived,live,living,have lived,Present Perfect,,,,,MCQ,Tenses,3
Did you ____ the noise?,hear,heard,hearing,hears,hear,Past Question (did + base),,,,,MCQ,Tenses,3
I ____ not ____ the answer.,"do, know","did, knew","am, knowing","have, knew","do, know",Present Negative,,,,,MCQ,Tenses,3
She ____ not ____ well yesterday.,"did, feel","do, feel","does, feel","did, felt","did, feel",Past Negative,,,,,MCQ,Tenses,3
____ you going to the party?,Are,Do,Did,Have,Are,Present Continuous Question,,,,,MCQ,Tenses,3
____ he like pizza?,Does,Do,Is,Has,Does,Present Simple Question,,,,,MCQ,Tenses,3
Where ____ you yesterday?,were,was,are,have been,were,Past To Be,,,,,MCQ,Tenses,3
Who ____ this letter?,wrote,write,writing,written,wrote,Past Question,,,,,MCQ,Tenses,3
The cake ____ delicious.,tastes,tasting,taste,tasted,tastes,State verb,,,,,MCQ,Tenses,3
I am ____ to music.,listening,listen,listened,listens,listening,Present Continuous,,,,,MCQ,Tenses,3
He has ____ his keys.,lost,lose,losing,losed,lost,Present Perfect,,,,,MCQ,Tenses,3
