Question,Option 1,Option 2,Option 3,Option 4,Answer,Hint,Know More,Link,YouTube,Image,Type,Concept,Worksheet No
What fraction is half?,1/2,1/3,1/4,1/5,1/2,One of two parts.,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/One_half.svg/240px-One_half.svg.png,MCQ,Genius,4
"Sentence: A quarter is ""1/4"".",,,,,1/4,One of four.,,,,,,FIB,Genius,4
Which is a quarter?,1/4,1/2,3/4,2/3,1/4,One fourth.,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Circle_quarter.svg/240px-Circle_quarter.svg.png,MCQ,Genius,4
What is 1/2 + 1/2?,1,2,1/2,1/4,1,Whole.,,,,,MCQ,Genius,4
"Sentence: Three quarters is ""3/4"".",,,,,3/4,3 of 4.,,,,,,FIB,Genius,4
Which fraction is bigger?,1/2,1/4,1/8,1/10,1/2,Half is big.,,,,,MCQ,Genius,4
What is the top number called?,Numerator,Denominator,Line,Part,Numerator,Top.,,,,,MCQ,Genius,4
"Sentence: The bottom number is the ""denominator"".",,,,,denominator,Down.,,,,,,FIB,Genius,4
1/2 of 10 is?,5,2,10,1,5,Half of ten.,,,,,MCQ,Genius,4
1/4 of 8 is?,2,4,8,1,2,Quarter of eight.,,,,,MCQ,Genius,4
Which shows 1/3?,1/3,1/2,1/4,1/5,1/3,One third.,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Pie_chart_1_3.svg/240px-Pie_chart_1_3.svg.png,MCQ,Genius,4
"Sentence: 1/2 is equal to ""2/4"".",,,,,2/4,Equivalent.,,,,,,FIB,Genius,4
1/2 is same as?,50%,25%,10%,100%,50%,Half percent.,,,,,MCQ,Genius,4
1/4 is same as?,25%,50%,75%,10%,25%,Quarter percent.,,,,,MCQ,Genius,4
3/4 is same as?,75%,50%,25%,100%,75%,Three quarters.,,,,,MCQ,Genius,4
"Sentence: 2 halves make a ""whole"".",,,,,whole,1.,,,,,,FIB,Genius,4
What is 1 - 1/2?,1/2,1,0,1/4,1/2,Take away half.,,,,,MCQ,Genius,4
What is 1/3 + 1/3?,2/3,1/3,1,3/3,2/3,Add tops.,,,,,MCQ,Genius,4
Top number of 3/5?,3,5,8,2,3,Numerator.,,,,,MCQ,Genius,4
"Sentence: The fraction line means ""divide"".",,,,,divide,Operation.,,,,,,FIB,Genius,4
Bottom number of 3/5?,5,3,8,2,5,Denominator.,,,,,MCQ,Genius,4
Is 1/2 equal to 2/4?,Yes,No,Maybe,Sometimes,Yes,Equivalent.,,,,,MCQ,Genius,4
Which is smaller?,1/10,1/2,1/3,1/4,1/10,Tiny piece.,,,,,MCQ,Genius,4
"Sentence: A whole pizza has ""8"" slices (conventionally).",,,,,8,Pizza.,,,,,,FIB,Genius,4
If I eat 1 slice of 8?,1/8,1/2,1/4,7/8,1/8,Single slice.,,,,,MCQ,Genius,4
If I eat 4 slices of 8?,1/2,1/8,1/4,3/4,1/2,Half pizza.,,,,,MCQ,Genius,4
1/3 of 9?,3,1,9,6,3,Divide by 3.,,,,,MCQ,Genius,4
"Sentence: A fraction is a ""part"" of a whole.",,,,,part,Definition.,,,,,,FIB,Genius,4
Shape with 3 sides?,Triangle,Square,Circle,Box,Triangle,Geometry.,,,,,MCQ,Genius,4
Half of a circle?,Semicircle,Square,Triangle,Line,Semicircle,Shape.,,,,,MCQ,Genius,4
1/5 + 2/5?,3/5,2/5,1/5,4/5,3/5,Add.,,,,,MCQ,Genius,4
"Sentence: 4 quarters make a ""dollar"".",,,,,dollar,Money.,,,,,,FIB,Genius,4
25 cents is?,1/4,1/2,1/10,1/100,1/4,Quarter.,,,,,MCQ,Genius,4
50 cents is?,1/2,1/4,1/10,1,1/2,Half dollar.,,,,,MCQ,Genius,4
1 dime is?,1/10,1/2,1/4,1/100,1/10,Ten cents.,,,,,MCQ,Genius,4
"Sentence: 100 cents make a ""dollar"".",,,,,dollar,1 dollar.,,,,,,FIB,Genius,4
1/2 > 1/4?,True,False,Maybe,No,True,Comparison.,,,,,MCQ,Genius,4
1/4 < 1/2?,True,False,Maybe,No,True,Comparison.,,,,,MCQ,Genius,4
1/3 > 1/2?,False,True,Maybe,Yes,False,Comparison.,,,,,MCQ,Genius,4
"Sentence: 1/2 is ""more"" than 1/4.",,,,,more,Comparison.,,,,,,FIB,Genius,4
Which is 1 whole?,4/4,1/4,1/2,3/4,4/4,All parts.,,,,,MCQ,Genius,4
Which is 1 whole?,2/2,1/2,3/2,0/2,2/2,All parts.,,,,,MCQ,Genius,4
3/3 is?,1,3,0,1/3,1,One.,,,,,MCQ,Genius,4
"Sentence: 5/5 equals ""1"".",,,,,1,Whole number.,,,,,,FIB,Genius,4
Half of 100?,50,10,25,5,50,Half.,,,,,MCQ,Genius,4
Quarter of 100?,25,50,10,5,25,Quarter.,,,,,MCQ,Genius,4
1/10 of 100?,10,1,50,5,10,Tenth.,,,,,MCQ,Genius,4
"Sentence: 50% means ""half"".",,,,,half,Percentage.,,,,,,FIB,Genius,4
Shaded part of 1/2?,1,2,0,3,1,Top part.,,,,,MCQ,Genius,4
Total parts of 1/2?,2,1,0,3,2,Bottom part.,,,,,MCQ,Genius,4
