Question,Option 1,Option 2,Option 3,Option 4,Answer,Hint,Know More,Link,YouTube,Image,Type,Concept/Subtopic,Worksheet No
"Read: 'A little seed for me to sow... A little earth to make it grow... A little sun, a little shower... A little while, and then - a flower!' What does the seed need to grow?","Earth, sun, and shower",Only sun,Only water,Nothing,"Earth, sun, and shower",Comprehension,,,,,MCQ,Poetry,6
"Read: 'A little seed for me to sow... A little earth to make it grow... A little sun, a little shower... A little while, and then - a flower!' What appears at the end?",A flower,A tree,A fruit,A weed,A flower,Comprehension,,,,,MCQ,Poetry,6
"Read: 'A little seed for me to sow... A little earth to make it grow... A little sun, a little shower... A little while, and then - a flower!' What rhymes with 'shower'?",Flower,Sow,Grow,Sun,Flower,Rhyme,,,,,MCQ,Poetry,6
"Read: 'A little seed for me to sow... A little earth to make it grow... A little sun, a little shower... A little while, and then - a flower!' What rhymes with 'sow'?",Grow,Flower,Shower,Sun,Grow,Rhyme,,,,,MCQ,Poetry,6
"Read: 'A little seed for me to sow... A little earth to make it grow... A little sun, a little shower... A little while, and then - a flower!' What is the poem about?",Gardening/Growing,Cooking,Sleeping,Running,Gardening/Growing,Theme,,,,,MCQ,Poetry,6
Which word rhymes with 'Cat'?,Hat,Dog,Car,Ball,Hat,Rhyme,,,,,MCQ,Poetry,6
Which word rhymes with 'Blue'?,Shoe,Red,Green,Look,Shoe,Rhyme,,,,,MCQ,Poetry,6
Which word rhymes with 'Star'?,Far,Stay,Stop,Step,Far,Rhyme,,,,,MCQ,Poetry,6
"In a poem, a group of lines is called a ____.",Stanza,Paragraph,Sentence,Chapter,Stanza,Definition,,,,,MCQ,Poetry,6
Poems often have ____ words.,rhyming,running,raining,rusting,rhyming,Definition,,,,,MCQ,Poetry,6
